,0050 ????50,2603 ??,2609 ??,2615 ??
???,???(?),???(?),???(?),???(?)
2010/1/4,39.1039,13.9846,21.5407,10.8512
2010/1/5,39.1039,14.4854,21.9803,10.9136
2010/1/6,39.8306,14.2543,22.0682,10.9136
2010/1/7,39.7268,14.3313,22.0682,10.7889
2010/1/8,39.9691,15.1018,22.4199,10.9448
2010/1/11,40.0729,15.4486,23.1233,11.1007
2010/1/12,39.8652,15.333,22.8595,10.82
2010/1/13,39.277,14.7166,21.9803,10.82
2010/1/14,39.7614,15.1018,22.2441,11.0071
2010/1/15,40.0037,15.2174,22.5957,11.1319
2010/1/18,39.796,14.8707,22.4199,11.1319
2010/1/19,39.277,14.6395,21.9803,10.976
2010/1/20,39.0347,15.1789,22.1561,10.9136
2010/1/21,38.7233,15.2174,22.0682,10.7889
2010/1/22,37.6505,14.6781,21.4528,10.29
2010/1/25,37.5121,14.2543,20.8373,10.29
2010/1/26,36.647,13.5994,19.8702,9.6351
2010/1/27,36.6124,13.792,19.7823,9.6663
2010/1/28,37.4083,13.869,20.046,9.7287
2010/1/29,36.6816,14.2543,20.2219,9.9781
2010/2/1,36.2663,14.0617,19.6943,9.7287
2010/2/2,35.8856,14.0617,19.0789,9.8534
2010/2/3,36.5085,14.0231,18.991,9.9158
2010/2/4,36.3701,13.6764,19.2547,9.7911
2010/2/5,35.1243,12.7903,18.5514,9.4169
2010/2/6,35.4358,12.7903,18.1118,9.4169
2010/2/8,35.1935,13.2912,17.848,9.3857
2010/2/9,35.678,13.3682,17.9359,9.5416
2010/2/10,36.0587,13.3297,18.7272,9.604
2010/2/22,36.4047,13.6379,19.1668,9.9781
2010/2/23,36.4047,14.5625,20.046,10.0405
2010/2/24,36.1625,14.4084,20.2219,10.1029
2010/2/25,35.7472,14.7166,19.7823,10.0093
2010/2/26,35.678,14.7936,19.8702,10.1341
2010/3/1,36.5431,14.6395,20.2219,10.1341
2010/3/2,36.4393,14.3699,20.3098,10.3835
2010/3/3,36.4393,14.6781,20.5736,10.5706
2010/3/4,36.1279,14.7551,21.3649,10.7265
2010/3/5,36.647,15.1018,21.6286,10.82
2010/3/8,37.1314,15.3715,21.9803,10.8512
2010/3/9,37.2352,15.3715,21.7165,10.9136
2010/3/10,37.2352,15.3715,21.2769,10.7889
2010/3/11,37.1314,15.2945,21.2769,10.6018
2010/3/12,37.0968,15.2945,21.2769,10.7265
2010/3/15,36.5777,15.2174,21.1011,10.5706
2010/3/16,36.7508,15.333,21.3649,10.6953
2010/3/17,37.4775,15.41,21.7165,10.8824
2010/3/18,37.6505,15.4871,21.7165,10.8512
2010/3/19,37.5467,15.41,21.8924,10.8512
2010/3/22,37.166,15.0248,21.6286,10.7265
2010/3/23,36.9238,14.4854,21.3649,10.633
2010/3/24,37.0276,14.7936,21.4528,10.7577
2010/3/25,37.0276,14.7551,21.3649,10.7889
2010/3/26,37.3737,14.7166,21.2769,10.8512
2010/3/29,37.7197,14.6395,21.2769,10.9136
2010/3/30,37.6851,14.524,21.4528,11.1007
